numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.23458766388440486e-04
0  1  2.91630576771884239e-04
0  2  7.02359954029781880e-04
0  3  1.01803669010031299e-03
0  4  5.02428069857665735e-04
1  0  2.91630576771884293e-04
1  1  2.60662088084644280e-04
1  2  6.36413676882863623e-04
1  3  8.57054122586932898e-04
1  4  3.60867765867044221e-04
2  0  7.02359954029781988e-04
2  1  6.36413676882863623e-04
2  2  1.59337496921808128e-03
2  3  2.22704181286463099e-03
2  4  8.67722062434363585e-04
3  0  1.01803669010031299e-03
3  1  8.57054122586932681e-04
3  2  2.22704181286463099e-03
3  3  3.36767414065329389e-03
3  4  1.23577768227546136e-03
4  0  5.02428069857665843e-04
4  1  3.60867765867044221e-04
4  2  8.67722062434363693e-04
4  3  1.23577768227546092e-03
4  4  6.76887859079588539e-04
