numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.94707869325461749e-06
0  1  2.72593435392029539e-06
0  2  6.18326172259702991e-06
0  3  7.17624960655663930e-06
0  4  4.24069398629793273e-06
1  0  2.72593435392029581e-06
1  1  2.52138435220293311e-06
1  2  5.71927909067591343e-06
1  3  6.63775466179235016e-06
1  4  3.92247870685345322e-06
2  0  6.18326172259702906e-06
2  1  5.71927909067591428e-06
2  2  1.29730928521325423e-05
2  3  1.50564793555005443e-05
2  4  8.89739417638889462e-06
3  0  7.17624960655663846e-06
3  1  6.63775466179235100e-06
3  2  1.50564793555005443e-05
3  3  1.74744429232501084e-05
3  4  1.03262524412232960e-05
4  0  4.24069398629793188e-06
4  1  3.92247870685345322e-06
4  2  8.89739417638889462e-06
4  3  1.03262524412232943e-05
4  4  6.10213956165633134e-06
