numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.47871440310588017e-03
0  1  1.18528368578733802e-03
0  2  2.68001801810303876e-03
0  3  3.27246579111683221e-03
0  4  1.93865892829041416e-03
1  0  1.18528368578733759e-03
1  1  1.15814037124672216e-03
1  2  2.65378084616249912e-03
1  3  3.08357941456742371e-03
1  4  1.69405071917889580e-03
2  0  2.68001801810303832e-03
2  1  2.65378084616249999e-03
2  2  6.18092006526188044e-03
2  3  7.39361749873767085e-03
2  4  3.82774904432383115e-03
3  0  3.27246579111683134e-03
3  1  3.08357941456742458e-03
3  2  7.39361749873766912e-03
3  3  9.50944418084330445e-03
3  4  4.53865475591871091e-03
4  0  1.93865892829041416e-03
4  1  1.69405071917889624e-03
4  2  3.82774904432383158e-03
4  3  4.53865475591871004e-03
4  4  2.99904496842113774e-03
