numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.94663712604701760e-07
0  1  -1.12617301383979360e-07
0  2  -4.38657916691093860e-07
0  3  6.98490279969517282e-08
0  4  2.49705481278780985e-06
1  0  -1.12617301383979347e-07
1  1  1.62377093404226832e-08
1  2  6.27239342823258075e-08
1  3  -9.69099228010033874e-09
1  4  -3.53752645936484511e-07
2  0  -4.38657916691093807e-07
2  1  6.27239342823258075e-08
2  2  2.43264156860360386e-07
2  3  -3.81392727152121368e-08
2  4  -1.37813957286247517e-06
3  0  6.98490279969518738e-08
3  1  -9.69099228010034536e-09
3  2  -3.81392727152121567e-08
3  3  6.29492296100575191e-09
3  4  2.19576543844590731e-07
4  0  2.49705481278780943e-06
4  1  -3.53752645936484564e-07
4  2  -1.37813957286247517e-06
4  3  2.19576543844590546e-07
4  4  7.84649582176885450e-06
