numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.86716127941051354e-07
0  1  -1.26351671266304978e-07
0  2  -4.64142889971810029e-07
0  3  5.80397483471051629e-08
0  4  2.46554230259645294e-06
1  0  -1.26351671266304978e-07
1  1  2.02928912536348014e-08
1  2  7.45443340634110069e-08
1  3  -9.32155696709194291e-09
1  4  -3.95981955176312582e-07
2  0  -4.64142889971810029e-07
2  1  7.45443340634109805e-08
2  2  2.73832726520036301e-07
2  3  -3.42420036583773959e-08
2  4  -1.45460845282253545e-06
3  0  5.80397483471053416e-08
3  1  -9.32155696709193960e-09
3  2  -3.42420036583771775e-08
3  3  4.28186517163625715e-09
3  4  1.81894650051667716e-07
4  0  2.46554230259645209e-06
4  1  -3.95981955176312582e-07
4  2  -1.45460845282253567e-06
4  3  1.81894650051667504e-07
4  4  7.72692796040925696e-06
