numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.13422723998291463e-05
0  1  2.51489138687895285e-05
0  2  3.91514370897750507e-05
0  3  7.30404617550140642e-06
0  4  6.83669970793557280e-05
1  0  2.51489138687895353e-05
1  1  2.05488141470449608e-05
1  2  3.21204832056441348e-05
1  3  5.92183517935999622e-06
1  4  5.44919444420223338e-05
2  0  3.91514370897750574e-05
2  1  3.21204832056441348e-05
2  2  5.02537226484636875e-05
2  3  9.24058856819560291e-06
2  4  8.47032000917580821e-05
3  0  7.30404617550139879e-06
3  1  5.92183517935999622e-06
3  2  9.24058856819560799e-06
3  3  1.71224963335176901e-06
3  4  1.58718969908440394e-05
4  0  6.83669970793557416e-05
4  1  5.44919444420223270e-05
4  2  8.47032000917580821e-05
4  3  1.58718969908440530e-05
4  4  1.49490681854451001e-04
