numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.05973908027231473e-04
0  1  8.45900394065903649e-05
0  2  1.61172970051612097e-04
0  3  1.27373676782945348e-04
0  4  1.78185835867084128e-04
1  0  8.45900394065903513e-05
1  1  1.02171440854533971e-04
1  2  2.17895175101418486e-04
1  3  1.96144402368973817e-04
1  4  1.63523335048585338e-04
2  0  1.61172970051612043e-04
2  1  2.17895175101418513e-04
2  2  4.91049387260694128e-04
2  3  4.95671155002440724e-04
2  4  3.26463737299819540e-04
3  0  1.27373676782945294e-04
3  1  1.96144402368973844e-04
3  2  4.95671155002440833e-04
3  3  6.25377920475808841e-04
3  4  2.82892914174457408e-04
4  0  1.78185835867084101e-04
4  1  1.63523335048585338e-04
4  2  3.26463737299819486e-04
4  3  2.82892914174457299e-04
4  4  4.03547371606683986e-04
