numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.58193338987944375e-06
0  1  3.58004971857935462e-06
0  2  8.35737977508287860e-06
0  3  7.87463401866710230e-06
0  4  8.07629237520791191e-07
1  0  3.58004971857935335e-06
1  1  8.10650319635755078e-06
1  2  1.89173442340288977e-05
1  3  1.78031627245682074e-05
1  4  1.81329164933052153e-06
2  0  8.35737977508287691e-06
2  1  1.89173442340288943e-05
2  2  4.41554901967367448e-05
2  3  4.15866119609877076e-05
2  4  4.25438226276250892e-06
3  0  7.87463401866710061e-06
3  1  1.78031627245682041e-05
3  2  4.15866119609877008e-05
3  3  3.92684980269168704e-05
3  4  4.07681443705127201e-06
4  0  8.07629237520790662e-07
4  1  1.81329164933052153e-06
4  2  4.25438226276250722e-06
4  3  4.07681443705126862e-06
4  4  4.58197352033214852e-07
