numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.21664479562038127e-04
0  1  8.13927704786026403e-05
0  2  -9.54154352153465838e-05
0  3  2.06339665260189104e-04
0  4  1.77873083411262837e-04
1  0  8.13927704786026403e-05
1  1  2.05953206123425679e-05
1  2  -2.41435629733585937e-05
1  3  5.22114130786864556e-05
1  4  4.50083362394448970e-05
2  0  -9.54154352153465567e-05
2  1  -2.41435629733585937e-05
2  2  2.83031104016510745e-05
2  3  -6.12065994659902716e-05
2  4  -5.27625483854769284e-05
3  0  2.06339665260189104e-04
3  1  5.22114130786864692e-05
3  2  -6.12065994659902445e-05
3  3  1.32361700358262380e-04
3  4  1.14101104790462438e-04
4  0  1.77873083411262892e-04
4  1  4.50083362394448970e-05
4  2  -5.27625483854769352e-05
4  3  1.14101104790462438e-04
4  4  9.83597375915049613e-05
