numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.04916444494951103e-05
0  1  -8.61608661880628804e-06
0  2  1.59553258572606355e-04
0  3  1.48573297737556928e-04
0  4  1.13669617047862105e-04
1  0  -8.61608661880628127e-06
1  1  9.22293849634954712e-07
1  2  -1.70790981545537905e-05
1  3  -1.59037675438685338e-05
1  4  -1.21675643864555533e-05
2  0  1.59553258572606301e-04
2  1  -1.70790981545538380e-05
2  2  3.16271862691415938e-04
2  3  2.94507013156866172e-04
2  4  2.25319757407446632e-04
3  0  1.48573297737556955e-04
3  1  -1.59037675438685372e-05
3  2  2.94507013156866172e-04
3  3  2.74239953122876049e-04
3  4  2.09813949918276598e-04
4  0  1.13669617047862132e-04
4  1  -1.21675643864555635e-05
4  2  2.25319757407446686e-04
4  3  2.09813949918276625e-04
4  4  1.60523268324016361e-04
