numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.98276390375626201e-05
0  1  -2.25501438916796816e-05
0  2  2.03571099876528983e-05
0  3  7.77492829346845149e-05
0  4  -4.31113400941350450e-05
1  0  -2.25501438916796749e-05
1  1  7.28234545151833879e-06
1  2  -6.57412688968877914e-06
1  3  -2.51083602684735764e-05
1  4  1.39223799613634910e-05
2  0  2.03571099876528881e-05
2  1  -6.57412688968877999e-06
2  2  5.93478360089578152e-06
2  3  2.26665361449655070e-05
2  4  -1.25684084999539381e-05
3  0  7.77492829346845149e-05
3  1  -2.51083602684735730e-05
3  2  2.26665361449655070e-05
3  3  8.65696030995097223e-05
3  4  -4.80021353273770159e-05
4  0  -4.31113400941350383e-05
4  1  1.39223799613634927e-05
4  2  -1.25684084999539347e-05
4  3  -4.80021353273770091e-05
4  4  2.66167905764704425e-05
