numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.14072081869463081e-03
0  1  1.64360656599207020e-03
0  2  1.72903096051204653e-03
0  3  3.04996227007056121e-03
0  4  6.12613677735620449e-03
1  0  1.64360656599207020e-03
1  1  8.60134567737555239e-04
1  2  9.04838985555654922e-04
1  3  1.59611067092539920e-03
1  4  3.20593876778041496e-03
2  0  1.72903096051204653e-03
2  1  9.04838985555654922e-04
2  2  9.51866859548423211e-04
2  3  1.67906652573386215e-03
2  4  3.37256342344456183e-03
3  0  3.04996227007056121e-03
3  1  1.59611067092539920e-03
3  2  1.67906652573386215e-03
3  3  2.96182640414382678e-03
3  4  5.94910758097686159e-03
4  0  6.12613677735620449e-03
4  1  3.20593876778041496e-03
4  2  3.37256342344456183e-03
4  3  5.94910758097686159e-03
4  4  1.19493434728383720e-02
