numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.86300200986801869e-06
0  1  1.91957495835150619e-06
0  2  1.55061543434873967e-06
0  3  2.47961533585617093e-06
0  4  8.19575916695491514e-06
1  0  1.91957495835150619e-06
1  1  5.43135748092174456e-07
1  2  4.02538107344360840e-07
1  3  6.21831630707812905e-07
1  4  2.32644853402263098e-06
2  0  1.55061543434873988e-06
2  1  4.02538107344360787e-07
2  2  3.06211090381391908e-07
2  3  4.78214070900815978e-07
2  4  1.72258767350930979e-06
3  0  2.47961533585617093e-06
3  1  6.21831630707812905e-07
3  2  4.78214070900815978e-07
3  3  7.50161057078592493e-07
3  4  2.65994054291374361e-06
4  0  8.19575916695491514e-06
4  1  2.32644853402263098e-06
4  2  1.72258767350930958e-06
4  3  2.65994054291374361e-06
4  4  9.96536504091076343e-06
