numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.92501188738211932e-06
0  1  3.12847070021181658e-07
0  2  6.74016861874640919e-07
0  3  6.02312333408878676e-07
0  4  -1.73414790845310903e-06
1  0  3.12847070021181976e-07
1  1  2.10398210889801106e-08
1  2  4.88283882164863054e-08
1  3  3.55544943555380303e-08
1  4  -1.64212690744900576e-07
2  0  6.74016861874640178e-07
2  1  4.88283882164859745e-08
2  2  1.23226523860505707e-07
2  3  6.84895151199509040e-08
2  4  -5.15844383874967309e-07
3  0  6.02312333408878041e-07
3  1  3.55544943555377921e-08
3  2  6.84895151199514863e-08
3  3  7.99330628447919281e-08
3  4  -8.67665117878462669e-08
4  0  -1.73414790845310988e-06
4  1  -1.64212690744900629e-07
4  2  -5.15844383874967627e-07
4  3  -8.67665117878482918e-08
4  4  3.11425246510492348e-06
