numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.98960588913788916e-04
0  1  4.66466221309935048e-05
0  2  5.70877126225233868e-05
0  3  1.05412774527303133e-04
0  4  9.57362918547980936e-05
1  0  4.66466221309935116e-05
1  1  2.09858380571596354e-05
1  2  5.83095381120463554e-06
1  3  3.15950985856753067e-05
1  4  5.05595488928744998e-05
2  0  5.70877126225233800e-05
2  1  5.83095381120462368e-06
2  2  3.38710056323859437e-05
2  3  2.50959865016231198e-05
2  4  1.73334915179482921e-05
3  0  1.05412774527303106e-04
3  1  3.15950985856752999e-05
3  2  2.50959865016231130e-05
3  3  7.40823819057115634e-05
3  4  8.30288933198223493e-05
4  0  9.57362918547981342e-05
4  1  5.05595488928744930e-05
4  2  1.73334915179482616e-05
4  3  8.30288933198222815e-05
4  4  1.66820733112000013e-04
