numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.71169421733784889e-06
0  1  3.98842651137236493e-06
0  2  5.55205551385069175e-06
0  3  5.83940333276403914e-06
0  4  1.83066458215213567e-05
1  0  3.98842651137236154e-06
1  1  4.28727375078940112e-06
1  2  5.96757699549374729e-06
1  3  6.27672612189119870e-06
1  4  1.96797924455484839e-05
2  0  5.55205551385069091e-06
2  1  5.96757699549374813e-06
2  2  8.30659782020323237e-06
2  3  8.73682242121746624e-06
2  4  2.73923798564746284e-05
3  0  5.83940333276403575e-06
3  1  6.27672612189119615e-06
3  2  8.73682242121746624e-06
3  3  9.18938873977135518e-06
3  4  2.88117269298666659e-05
4  0  1.83066458215213567e-05
4  1  1.96797924455484839e-05
4  2  2.73923798564746284e-05
4  3  2.88117269298666760e-05
4  4  9.03372105804486940e-05
