numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.49085488576155750e-06
0  1  -4.20584156313582822e-06
0  2  -4.41355807300690187e-06
0  3  2.92075251259996249e-06
0  4  6.24847396836967566e-06
1  0  -4.20584156313582738e-06
1  1  1.18650738064052987e-05
1  2  1.24510615768508552e-05
1  3  -8.23971697745170672e-06
1  4  -1.76275315413525649e-05
2  0  -4.41355807300690272e-06
2  1  1.24510615768508552e-05
2  2  1.30659898893203792e-05
2  3  -8.64665699817983168e-06
2  4  -1.84981133914881730e-05
3  0  2.92075251259996122e-06
3  1  -8.23971697745170672e-06
3  2  -8.64665699817982829e-06
3  3  5.72208289440679246e-06
3  4  1.22414637516572272e-05
4  0  6.24847396836967566e-06
4  1  -1.76275315413525649e-05
4  2  -1.84981133914881730e-05
4  3  1.22414637516572323e-05
4  4  2.61886165489871277e-05
