numXbins 4
numYbins 4
xbin  ybin  z
0  0  5.64497218288295926e-05
0  1  -1.43031925792310892e-05
0  2  -6.19165921891565797e-05
0  3  -8.50046560018404018e-05
1  0  -1.43031925792310892e-05
1  1  3.62413332308200764e-06
1  2  1.56883845170505747e-05
1  3  2.15384226092797272e-05
2  0  -6.19165921891565933e-05
2  1  1.56883845170505747e-05
2  2  6.79129013238188265e-05
2  3  9.32369274698092862e-05
3  0  -8.50046560018404018e-05
3  1  2.15384226092797306e-05
3  2  9.32369274698092591e-05
3  3  1.28004023897614983e-04
