numXbins 4
numYbins 4
xbin  ybin  z
0  0  3.89533000204267402e-05
0  1  -1.46308794432703594e-05
0  2  -7.21205888405876253e-05
0  3  -2.16649110169616016e-04
1  0  -1.46308794432703662e-05
1  1  5.49536581422520130e-06
1  2  2.70885301155737039e-05
1  3  8.13735167680596134e-05
2  0  -7.21205888405876524e-05
2  1  2.70885301155736937e-05
2  2  1.33528592750435486e-04
2  3  4.01117784347629477e-04
3  0  -2.16649110169616016e-04
3  1  8.13735167680595592e-05
3  2  4.01117784347629477e-04
3  3  1.20495149095643230e-03
