numXbins 4
numYbins 4
xbin  ybin  z
0  0  5.91590229445697338e-05
0  1  6.43578148462520716e-05
0  2  -4.64773880808810302e-06
0  3  1.58846540087268260e-04
1  0  6.43578148462520987e-05
1  1  7.00134675257454894e-05
1  2  -5.05617399977920360e-06
1  3  1.72805697374056312e-04
2  0  -4.64773880808809201e-06
2  1  -5.05617399977919513e-06
2  2  3.65142542135085512e-07
2  3  -1.24795372226796942e-05
3  0  1.58846540087268260e-04
3  1  1.72805697374056285e-04
3  2  -1.24795372226796874e-05
3  3  4.26515213433088292e-04
