numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.97191025076558126e-04
0  1  1.44599835339195333e-04
0  2  2.11452852081708815e-04
0  3  4.37594493946373900e-04
0  4  4.47774249728404255e-04
1  0  1.44599835339195441e-04
1  1  2.09583826456513525e-04
1  2  8.85965038388299137e-05
1  3  3.18041127549231945e-04
1  4  4.21504439009512237e-04
2  0  2.11452852081708869e-04
2  1  8.85965038388299137e-05
2  2  3.56618591819724906e-04
2  3  4.91306248670897189e-04
2  4  4.74189290084220611e-04
3  0  4.37594493946374008e-04
3  1  3.18041127549231729e-04
3  2  4.91306248670897189e-04
3  3  1.38642371867540946e-03
3  4  1.64198454985735190e-03
4  0  4.47774249728404255e-04
4  1  4.21504439009512128e-04
4  2  4.74189290084220665e-04
4  3  1.64198454985735212e-03
4  4  2.08206620387359383e-03
