numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.13040431312341343e-06
0  1  1.57723108653214656e-06
0  2  1.70158272514656238e-06
0  3  2.40727361986727146e-06
0  4  4.40015320888766884e-06
1  0  1.57723108653214677e-06
1  1  2.20067976691432001e-06
1  2  2.37418518246067443e-06
1  3  3.35882192147023895e-06
1  4  6.13944793556720795e-06
2  0  1.70158272514656217e-06
2  1  2.37418518246067274e-06
2  2  2.56137006635880929e-06
2  3  3.62363727624947156e-06
2  4  6.62349267542474720e-06
3  0  2.40727361986727103e-06
3  1  3.35882192147023895e-06
3  2  3.62363727624947114e-06
3  3  5.12645450272286923e-06
3  4  9.37042845657752569e-06
4  0  4.40015320888766884e-06
4  1  6.13944793556720710e-06
4  2  6.62349267542474635e-06
4  3  9.37042845657752569e-06
4  4  1.71278081982783825e-05
