numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.43196864295795171e-05
0  1  2.81572840280452187e-05
0  2  2.16118186050738062e-05
0  3  8.73099488394183891e-06
0  4  -7.18944081186979787e-06
1  0  2.81572840280452119e-05
1  1  3.65058808434780491e-05
1  2  2.80934269436170671e-05
1  3  1.19551363379979387e-05
1  4  -8.16581346260527677e-06
2  0  2.16118186050738062e-05
2  1  2.80934269436170705e-05
2  2  2.61809008307548870e-05
2  3  1.93009513314538819e-05
2  4  1.42956703321461019e-05
3  0  8.73099488394183891e-06
3  1  1.19551363379979404e-05
3  2  1.93009513314538819e-05
3  3  3.57334791634676503e-05
3  4  5.77652330866796910e-05
4  0  -7.18944081186979787e-06
4  1  -8.16581346260527677e-06
4  2  1.42956703321461019e-05
4  3  5.77652330866796842e-05
4  4  1.23844092041806890e-04
