numXbins 5
numYbins 5
xbin  ybin  z
0  0  -6.41374381298097025e-06
0  1  -3.29615502029052343e-04
0  2  -2.27222894965639996e-04
0  3  3.07536856585155039e-04
0  4  2.24387170084281503e-04
1  0  -3.29615502029052343e-04
1  1  -1.17054972631357537e-03
1  2  -9.68527804656686502e-04
1  3  -1.95736247844928972e-05
1  4  -6.75143142311707459e-04
2  0  -2.27222894965639996e-04
2  1  -9.68527804656686502e-04
2  2  -7.77406373574932941e-04
2  3  1.48675744823087804e-04
2  4  -3.40319616949333586e-04
3  0  3.07536856585155039e-04
3  1  -1.95736247844928972e-05
3  2  1.48675744823087262e-04
3  3  1.13388856460583864e-03
3  4  1.49050142504131874e-03
4  0  2.24387170084282560e-04
4  1  -6.75143142311707459e-04
4  2  -3.40319616949333586e-04
4  3  1.49050142504132091e-03
4  4  1.59908405742178799e-03
