numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.54568512211970812e-04
0  1  -1.35664941748552209e-04
0  2  -1.42650993695763584e-04
0  3  -1.94585526517534807e-04
0  4  -2.81667050250120185e-04
1  0  -1.35664941748551830e-04
1  1  6.71219246470466241e-04
1  2  1.89877690957223239e-04
1  3  -2.82397531767991769e-04
1  4  -4.43034463911145420e-04
2  0  -1.42650993695763719e-04
2  1  1.89877690957223510e-04
2  2  6.16971348679589229e-04
2  3  -1.82170562570465363e-04
2  4  -4.82027483370582762e-04
3  0  -1.94585526517535078e-04
3  1  -2.82397531767992311e-04
3  2  -1.82170562570465607e-04
3  3  5.46926222414462486e-04
3  4  1.12227398441532475e-04
4  0  -2.81667050250120456e-04
4  1  -4.43034463911145420e-04
4  2  -4.82027483370583304e-04
4  3  1.12227398441531418e-04
4  4  1.09450159909031783e-03
