numXbins 5
numYbins 5
xbin  ybin  z
0  0  9.91583747333370121e-08
0  1  -3.81817578079545952e-08
0  2  3.73794843273195395e-07
0  3  -1.38001848325423492e-07
0  4  -5.33025845030967781e-08
1  0  -3.81817578079545952e-08
1  1  3.48417641017398399e-08
1  2  -1.59733644703030913e-07
1  3  4.61381301224863121e-08
1  4  -1.05981827975856226e-07
2  0  3.73794843273195342e-07
2  1  -1.59733644703030913e-07
2  2  1.42148186766424137e-06
2  3  -5.14729651895594625e-07
2  4  -1.01680687341531055e-07
3  0  -1.38001848325423492e-07
3  1  4.61381301224863187e-08
3  2  -5.14729651895594625e-07
3  3  1.94495000576745576e-07
3  4  1.18157279776822793e-07
4  0  -5.33025845030967847e-08
4  1  -1.05981827975856239e-07
4  2  -1.01680687341531134e-07
4  3  1.18157279776822846e-07
4  4  8.23301597542417867e-07
