numXbins 5
numYbins 5
xbin  ybin  z
0  0  5.41665607762412323e-08
0  1  -6.06802446543496771e-08
0  2  2.35434095408630865e-07
0  3  -6.15426200583165196e-08
0  4  2.21030256940785720e-07
1  0  -6.06802446543496506e-08
1  1  6.79772176513519055e-08
1  2  -2.63745718846478664e-07
1  3  6.89432961644916137e-08
1  4  -2.47609777600344624e-07
2  0  2.35434095408630865e-07
2  1  -2.63745718846478611e-07
2  2  1.02331055334775622e-06
2  3  -2.67494019831920757e-07
2  4  9.60704498403676611e-07
3  0  -6.15426200583165328e-08
3  1  6.89432961644916137e-08
3  2  -2.67494019831920757e-07
3  3  6.99231043906998797e-08
3  4  -2.51128757841782022e-07
4  0  2.21030256940785641e-07
4  1  -2.47609777600344624e-07
4  2  9.60704498403676822e-07
4  3  -2.51128757841782022e-07
4  4  9.01928676718541800e-07
