numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.34270472527559134e-07
0  1  6.55055645886281803e-08
0  2  -6.07510726139313684e-07
0  3  -1.65790001678123235e-06
1  0  6.55055645886281803e-08
1  1  1.12501495718063795e-07
1  2  -6.50766960929755012e-07
1  3  -1.64934020673555407e-06
2  0  -6.07510726139313684e-07
2  1  -6.50766960929754907e-07
2  2  4.30796172031478554e-06
2  3  1.11993945751405009e-05
3  0  -1.65790001678123278e-06
3  1  -1.64934020673555492e-06
3  2  1.11993945751405009e-05
3  3  2.92420106495275335e-05
