numXbins 4
numYbins 4
xbin  ybin  z
0  0  9.85669537458524136e-05
0  1  -2.87953803345433103e-05
0  2  -3.11063737699699951e-05
0  3  2.98309616092915799e-04
1  0  -2.87953803345433103e-05
1  1  8.42597824650188518e-06
1  2  9.03352543637949653e-06
1  3  -8.71666935303233651e-05
2  0  -3.11063737699699883e-05
2  1  9.03352543637949822e-06
2  2  1.00290065819070335e-05
2  3  -9.40698293579922862e-05
3  0  2.98309616092915745e-04
3  1  -8.71666935303233245e-05
3  2  -9.40698293579922455e-05
3  3  9.02848975249477027e-04
