numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.07692317616650766e-07
0  1  3.13676805135814486e-09
0  2  1.11930311170038172e-08
0  3  -1.13478637590888048e-06
1  0  3.13676805135814404e-09
1  1  4.25532994542491682e-08
1  2  -8.74754942226824863e-08
1  3  -5.97630091355713072e-07
2  0  1.11930311170038006e-08
2  1  -8.74754942226824863e-08
2  2  1.82716691692636998e-07
2  3  1.04947110269880140e-06
3  0  -1.13478637590888048e-06
3  1  -5.97630091355713072e-07
3  2  1.04947110269880161e-06
3  3  1.94642435780563339e-05
