numXbins 4
numYbins 4
xbin  ybin  z
0  0  6.81061394686895082e-07
0  1  -3.80427811353299374e-07
0  2  -4.50298237448511497e-06
0  3  -9.29449160415032648e-06
1  0  -3.80427811353299427e-07
1  1  2.19551764761979640e-07
1  2  2.38940132684007742e-06
1  3  4.94466063631249099e-06
2  0  -4.50298237448511497e-06
2  1  2.38940132684007911e-06
2  2  3.20193183884119617e-05
2  3  6.58625349333971801e-05
3  0  -9.29449160415032648e-06
3  1  4.94466063631249523e-06
3  2  6.58625349333972072e-05
3  3  1.35498220858004583e-04
