numXbins 4
numYbins 4
xbin  ybin  z
0  0  6.72456471137544655e-05
0  1  3.18217262450547209e-05
0  2  6.60769840278917317e-05
0  3  1.76671941696110457e-04
1  0  3.18217262450547276e-05
1  1  3.72136216019692154e-05
1  2  5.32689342508764618e-05
1  3  7.95101706482393707e-05
2  0  6.60769840278917317e-05
2  1  5.32689342508764550e-05
2  2  1.31511230640837654e-04
2  3  2.89048782657420076e-04
3  0  1.76671941696110457e-04
3  1  7.95101706482393707e-05
3  2  2.89048782657420130e-04
3  3  9.47718932134426349e-04
