numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.73942436939034551e-04
0  1  1.47933446771254210e-04
0  2  1.17529793501427182e-04
0  3  9.33777111286787539e-05
0  4  9.13433491017290609e-05
0  5  -5.66864072466577399e-06
0  6  -4.53729085864417118e-05
1  0  1.47933446771254210e-04
1  1  1.40759892744382907e-04
1  2  1.18880536161550636e-04
1  3  9.57156886961073458e-05
1  4  9.50981757486782684e-05
1  5  5.52625636461477002e-05
1  6  -8.12908142822424260e-05
2  0  1.17529793501427210e-04
2  1  1.18880536161550636e-04
2  2  1.04847476635099845e-04
2  3  8.76832915807249991e-05
2  4  9.44028875256814422e-05
2  5  8.93693353521865763e-05
2  6  -9.14845264301496284e-05
3  0  9.33777111286787539e-05
3  1  9.57156886961073458e-05
3  2  8.76832915807249991e-05
3  3  8.34095724571443916e-05
3  4  1.08145790245184342e-04
3  5  1.27018854094447113e-04
3  6  -1.26543788920903578e-04
4  0  9.13433491017290745e-05
4  1  9.50981757486782684e-05
4  2  9.44028875256814557e-05
4  3  1.08145790245184342e-04
4  4  1.75228351257030146e-04
4  5  2.41276437455973801e-04
4  6  -2.31505262101229379e-04
5  0  -5.66864072466576128e-06
5  1  5.52625636461477002e-05
5  2  8.93693353521865763e-05
5  3  1.27018854094447140e-04
5  4  2.41276437455973801e-04
5  5  5.37478398851232728e-04
5  6  -4.73967683925173653e-04
6  0  -4.53729085864417118e-05
6  1  -8.12908142822424260e-05
6  2  -9.14845264301496149e-05
6  3  -1.26543788920903605e-04
6  4  -2.31505262101229379e-04
6  5  -4.73967683925173653e-04
6  6  1.03574975604977973e-03
