numXbins 7
numYbins 7
xbin  ybin  z
0  0  5.67333955211622850e-04
0  1  5.18795360780896324e-04
0  2  4.76137082729216122e-04
0  3  4.06991614314813530e-04
0  4  5.15717659219887292e-04
0  5  6.17384369860647002e-04
0  6  -7.12530837570228868e-05
1  0  5.18795360780896432e-04
1  1  4.96251268426030280e-04
1  2  4.64498621595996935e-04
1  3  3.93762891554300251e-04
1  4  4.84127820847363979e-04
1  5  6.22163660412658492e-04
1  6  -1.54967700888277669e-04
2  0  4.76137082729216122e-04
2  1  4.64498621595996826e-04
2  2  4.43857481779169865e-04
2  3  3.81545235647685508e-04
2  4  4.77407513168109628e-04
2  5  6.38405159400224991e-04
2  6  -2.59559655639917492e-04
3  0  4.06991614314813639e-04
3  1  3.93762891554300359e-04
3  2  3.81545235647685616e-04
3  3  3.41313809549619279e-04
3  4  4.54696333622387947e-04
3  5  6.13259531194145424e-04
3  6  -3.24808295154117507e-04
4  0  5.15717659219887400e-04
4  1  4.84127820847363979e-04
4  2  4.77407513168109628e-04
4  3  4.54696333622387893e-04
4  4  6.67636972872171918e-04
4  5  8.95651611950166451e-04
4  6  -5.94459221464006186e-04
5  0  6.17384369860646894e-04
5  1  6.22163660412658709e-04
5  2  6.38405159400224991e-04
5  3  6.13259531194145207e-04
5  4  8.95651611950166451e-04
5  5  1.36333491918263182e-03
5  6  -1.06478755897277343e-03
6  0  -7.12530837570231579e-05
6  1  -1.54967700888277750e-04
6  2  -2.59559655639917330e-04
6  3  -3.24808295154117399e-04
6  4  -5.94459221464006295e-04
6  5  -1.06478755897277300e-03
6  6  2.37166734018044159e-03
