numXbins 7
numYbins 7
xbin  ybin  z
0  0  3.55488157922121447e-04
0  1  2.80767022297589140e-04
0  2  2.36364211205921027e-04
0  3  2.16278251344605073e-04
0  4  2.85703404634976457e-04
0  5  2.02135316273213065e-04
0  6  -5.75208499989961122e-04
1  0  2.80767022297589140e-04
1  1  2.16830303450483189e-04
1  2  1.81060902778330829e-04
1  3  1.67854285075482042e-04
1  4  2.26092714643052149e-04
1  5  1.49343870826781531e-04
1  6  -5.48776526275687802e-04
2  0  2.36364211205922057e-04
2  1  1.81060902778330829e-04
2  2  1.50738212006312414e-04
2  3  1.40418304817827754e-04
2  4  1.90469349077591128e-04
2  5  1.22630772907313058e-04
2  6  -4.90361734600948461e-04
3  0  2.16278251344605615e-04
3  1  1.67854285075482042e-04
3  2  1.40418304817827212e-04
3  3  1.29798391265786080e-04
3  4  1.74087640112394394e-04
3  5  1.16773442318746613e-04
3  6  -4.06848907916352741e-04
4  0  2.85703404634976999e-04
4  1  2.26092714643051607e-04
4  2  1.90469349077590071e-04
4  3  1.74087640112394394e-04
4  4  2.29578146874152546e-04
4  5  1.63380555932290435e-04
4  6  -4.53803055242156137e-04
5  0  2.02135316273213580e-04
5  1  1.49343870826782046e-04
5  2  1.22630772907313058e-04
5  3  1.16773442318747128e-04
5  4  1.63380555932291465e-04
5  5  9.33633819541067507e-05
5  6  -5.24868629189148214e-04
6  0  -5.75208499989959495e-04
6  1  -5.48776526275687369e-04
6  2  -4.90361734600947919e-04
6  3  -4.06848907916352199e-04
6  4  -4.53803055242155595e-04
6  5  -5.24868629189147889e-04
6  6  -8.82781975536819311e-04
