numXbins 7
numYbins 7
xbin  ybin  z
0  0  3.41459180217415972e-07
0  1  2.21278769331163771e-07
0  2  1.68337380671858020e-07
0  3  1.84192789611453486e-07
0  4  3.21137558815984013e-07
0  5  1.80191491847645176e-07
0  6  -4.50428977786930281e-07
1  0  2.21278769331163798e-07
1  1  1.55944866262117867e-07
1  2  1.23222695312643192e-07
1  3  1.23495845531368626e-07
1  4  1.92809867128716753e-07
1  5  1.11658037169499930e-07
1  6  -1.89314698370445480e-07
2  0  1.68337380671858020e-07
2  1  1.23222695312643192e-07
2  2  9.89092405045265454e-08
2  3  9.54599719501477834e-08
2  4  1.41085505173657214e-07
2  5  8.30740909011170884e-08
2  6  -1.06512955006664671e-07
3  0  1.84192789611453486e-07
3  1  1.23495845531368626e-07
3  2  9.54599719501477834e-08
3  3  1.00719372951867042e-07
3  4  1.68192727822491403e-07
3  5  9.55167580267785792e-08
3  6  -2.09195648448097220e-07
4  0  3.21137558815984013e-07
4  1  1.92809867128716779e-07
4  2  1.41085505173657214e-07
4  3  1.68192727822491403e-07
4  4  3.20680713120982909e-07
4  5  1.75702019342624493e-07
4  6  -5.48701632070663962e-07
5  0  1.80191491847645256e-07
5  1  1.11658037169499943e-07
5  2  8.30740909011171281e-08
5  3  9.55167580267785660e-08
5  4  1.75702019342624414e-07
5  5  9.71723875458576434e-08
5  6  -2.79496432884066242e-07
6  0  -4.50428977786930440e-07
6  1  -1.89314698370445453e-07
6  2  -1.06512955006664632e-07
6  3  -2.09195648448097247e-07
6  4  -5.48701632070663962e-07
6  5  -2.79496432884066084e-07
6  6  1.43280132539832371e-06
