numXbins 7
numYbins 7
xbin  ybin  z
0  0  6.71186171796252102e-07
0  1  4.51965355316893106e-07
0  2  3.50051576625870779e-07
0  3  3.67658323518907103e-07
0  4  6.10499506156149917e-07
0  5  3.47260110892634954e-07
0  6  -7.46314046122639760e-07
1  0  4.51965355316893106e-07
1  1  3.04345785104665855e-07
1  2  2.35718779464034494e-07
1  3  2.47574863438752371e-07
1  4  4.11099986583771372e-07
1  5  2.33839053905028434e-07
1  6  -5.02555188422746027e-07
2  0  3.50051576625870726e-07
2  1  2.35718779464034494e-07
2  2  1.82566494137271047e-07
2  3  1.91749146832075013e-07
2  4  3.18400949899410759e-07
2  5  1.81110628355052693e-07
2  6  -3.89233895871395302e-07
3  0  3.67658323518906998e-07
3  1  2.47574863438752371e-07
3  2  1.91749146832075013e-07
3  3  2.01393664727894437e-07
3  4  3.34415746888520912e-07
3  5  1.90220054525397573e-07
3  6  -4.08811418569208074e-07
4  0  6.10499506156149811e-07
4  1  4.11099986583771372e-07
4  2  3.18400949899410759e-07
4  3  3.34415746888520912e-07
4  4  5.55299949072914002e-07
4  5  3.15861880229617835e-07
4  6  -6.78834540610262677e-07
5  0  3.47260110892634848e-07
5  1  2.33839053905028460e-07
5  2  1.81110628355052693e-07
5  3  1.90220054525397573e-07
5  4  3.15861880229617835e-07
5  5  1.79666372288986587e-07
5  6  -3.86129973035189652e-07
6  0  -7.46314046122639865e-07
6  1  -5.02555188422746133e-07
6  2  -3.89233895871395355e-07
6  3  -4.08811418569208074e-07
6  4  -6.78834540610262677e-07
6  5  -3.86129973035189652e-07
6  6  8.29851207973078140e-07
