numXbins 7
numYbins 7
xbin  ybin  z
0  0  8.36219056947482074e-05
0  1  6.73070128456311863e-05
0  2  5.62093191861929352e-05
0  3  5.21970944799185398e-05
0  4  6.85999943533317682e-05
0  5  5.14290743711130329e-05
0  6  1.82301462717074165e-05
1  0  6.73070128456311728e-05
1  1  5.41813900311194436e-05
1  2  4.52497943513526871e-05
1  3  4.20168975661305903e-05
1  4  5.52119300744335296e-05
1  5  4.14000772012077510e-05
1  6  1.47342218897337935e-05
2  0  5.62093191861929149e-05
2  1  4.52497943513526871e-05
2  2  3.77911362205554565e-05
2  3  3.50902058810372868e-05
2  4  4.61072522634697882e-05
2  5  3.45755098095522671e-05
2  6  1.23237376939343219e-05
3  0  5.21970944799185331e-05
3  1  4.20168975661305971e-05
3  2  3.50902058810372732e-05
3  3  3.25837309048163353e-05
3  4  4.28180273129273196e-05
3  5  3.21051236981223815e-05
3  6  1.14149139022300715e-05
4  0  6.85999943533317547e-05
4  1  5.52119300744335364e-05
4  2  4.61072522634697950e-05
4  3  4.28180273129273061e-05
4  4  5.62792102821389994e-05
4  5  4.21870990327353080e-05
4  6  1.49159875203362581e-05
5  0  5.14290743711129990e-05
5  1  4.14000772012077442e-05
5  2  3.45755098095522806e-05
5  3  3.21051236981223747e-05
5  4  4.21870990327352741e-05
5  5  3.16338679474820680e-05
5  6  1.12608261321510448e-05
6  0  1.82301462717074267e-05
6  1  1.47342218897337969e-05
6  2  1.23237376939343151e-05
6  3  1.14149139022300664e-05
6  4  1.49159875203362548e-05
6  5  1.12608261321510448e-05
6  6  4.57274251108102634e-06
