numXbins 7
numYbins 7
xbin  ybin  z
0  0  3.00039184147124149e-05
0  1  2.73491444730190636e-05
0  2  2.28512626239081164e-05
0  3  1.82921593345398861e-05
0  4  1.77499794964484299e-05
0  5  1.45688946523100954e-05
0  6  -8.89879455468815114e-07
1  0  2.73491444730190636e-05
1  1  2.49485136911622550e-05
1  2  2.08487646155965232e-05
1  3  1.66786540673200518e-05
1  4  1.61537446440441420e-05
1  5  1.32772542078101924e-05
1  6  -7.23671838987604171e-07
2  0  2.28512626239081130e-05
2  1  2.08487646155965198e-05
2  2  1.74232934405996481e-05
2  3  1.39365204185765275e-05
2  4  1.34926400543459791e-05
2  5  1.10932130540974732e-05
2  6  -5.89560717955541627e-07
3  0  1.82921593345398827e-05
3  1  1.66786540673200518e-05
3  2  1.39365204185765292e-05
3  3  1.11532796125573982e-05
3  4  1.08147561413969495e-05
3  5  8.88138971630789708e-06
3  6  -5.19791910224954657e-07
4  0  1.77499794964484197e-05
4  1  1.61537446440441420e-05
4  2  1.34926400543459859e-05
4  3  1.08147561413969529e-05
4  4  1.05350066822867158e-05
4  5  8.62222738062548895e-06
4  6  -6.43245783906170242e-07
5  0  1.45688946523100920e-05
5  1  1.32772542078101924e-05
5  2  1.10932130540974783e-05
5  3  8.88138971630790046e-06
5  4  8.62222738062548726e-06
5  5  7.07450928488138860e-06
5  6  -4.43782074698389968e-07
6  0  -8.89879455468807702e-07
6  1  -7.23671838987601100e-07
6  2  -5.89560717955543638e-07
6  3  -5.19791910224955716e-07
6  4  -6.43245783906167065e-07
6  5  -4.43782074698394256e-07
6  6  4.23925170668985524e-07
