numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.06599956989296307e-04
0  1  1.71689377771567360e-05
0  2  2.44763960319858520e-05
0  3  5.98639006359468696e-05
0  4  3.35666448891174457e-05
1  0  1.71689377771567360e-05
1  1  8.20110643617781358e-06
1  2  9.30875584375398610e-06
1  3  1.05756488811891685e-05
1  4  7.20851659262435025e-06
2  0  2.44763960319858486e-05
2  1  9.30875584375398610e-06
2  2  1.36360968237895200e-05
2  3  1.70989040967568387e-05
2  4  1.15884967790892683e-05
3  0  5.98639006359468696e-05
3  1  1.05756488811891685e-05
3  2  1.70989040967568387e-05
3  3  5.50970038443165323e-05
3  4  2.84636439053164990e-05
4  0  3.35666448891174457e-05
4  1  7.20851659262435195e-06
4  2  1.15884967790892683e-05
4  3  2.84636439053164990e-05
4  4  1.68017411791650198e-05
