numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.62276408812738598e-05
0  1  3.18118431578546086e-05
0  2  3.25173596119785220e-05
0  3  3.47299765940762228e-05
0  4  3.98528941138755053e-05
1  0  3.18118431578545951e-05
1  1  1.52805286679943705e-05
1  2  1.56194170608953176e-05
1  3  1.66822274443888239e-05
1  4  1.91429741429256985e-05
2  0  3.25173596119785220e-05
2  1  1.56194170608953176e-05
2  2  1.59658212502283316e-05
2  3  1.70522024217911671e-05
2  4  1.95675230498119187e-05
3  0  3.47299765940762363e-05
3  1  1.66822274443888306e-05
3  2  1.70522024217911637e-05
3  3  1.82125055063849078e-05
3  4  2.08989790571334059e-05
4  0  3.98528941138755121e-05
4  1  1.91429741429257087e-05
4  2  1.95675230498119187e-05
4  3  2.08989790571334059e-05
4  4  2.39817264833429720e-05
