numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.52932953608261856e-06
0  1  -1.69489588368239628e-06
0  2  -4.19528570090235573e-06
0  3  -6.44802889470802290e-06
0  4  -5.92625617994542417e-06
1  0  -1.69489588368239670e-06
1  1  8.13942712675126643e-07
1  2  2.01470913742541082e-06
1  3  3.09654780597114191e-06
1  4  2.84597601395579840e-06
2  0  -4.19528570090236082e-06
2  1  2.01470913742540913e-06
2  2  4.98690245052362714e-06
2  3  7.66472020943656290e-06
2  4  7.04449316999887732e-06
3  0  -6.44802889470802460e-06
3  1  3.09654780597114318e-06
3  2  7.66472020943656629e-06
3  3  1.17804461731102739e-05
3  4  1.08271757270204626e-05
4  0  -5.92625617994542840e-06
4  1  2.84597601395579713e-06
4  2  7.04449316999887563e-06
4  3  1.08271757270204575e-05
4  4  9.95104366177249064e-06
