numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.27513980344701321e-04
0  1  1.76609201569226170e-04
0  2  1.60330539252153461e-04
0  3  4.48051806789315317e-06
0  4  8.78696237108644314e-05
1  0  1.76609201569226089e-04
1  1  1.37094037173728978e-04
1  2  1.24457620061789502e-04
1  3  3.47803118466926660e-06
1  4  6.82093648146467368e-05
2  0  1.60330539252153407e-04
2  1  1.24457620061789502e-04
2  2  1.12985943887667492e-04
2  3  3.15744938779564192e-06
2  4  6.19222789390876425e-05
3  0  4.48051806789314132e-06
3  1  3.47803118466928947e-06
3  2  3.15744938779565293e-06
3  3  8.82365212296041696e-08
3  4  1.73044942582874065e-06
4  0  8.78696237108644043e-05
4  1  6.82093648146467503e-05
4  2  6.19222789390876425e-05
4  3  1.73044942582874616e-06
4  4  3.39366871406798068e-05
