numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.62122822375992043e-05
0  1  7.78013997978097256e-06
0  2  7.94181045927760474e-06
0  3  8.43870687376030528e-06
0  4  8.98181582776614982e-06
1  0  7.78013997978097256e-06
1  1  3.73362474313486691e-06
1  2  3.81120906733106113e-06
1  3  4.04966554147021064e-06
1  4  4.31029903060589381e-06
2  0  7.94181045927760304e-06
2  1  3.81120906733106113e-06
2  2  3.89040558551435852e-06
2  3  4.13381715976910190e-06
2  4  4.39986658502816323e-06
3  0  8.43870687376030528e-06
3  1  4.04966554147021149e-06
3  2  4.13381715976910275e-06
3  3  4.39245830152749836e-06
3  4  4.67515368001904579e-06
4  0  8.98181582776615321e-06
4  1  4.31029903060589296e-06
4  2  4.39986658502816493e-06
4  3  4.67515368001904664e-06
4  4  4.97604312468822574e-06
