numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.11418620747935973e-04
0  1  4.21175524839329215e-05
0  2  4.09547367572398463e-05
0  3  5.75199628036509022e-05
0  4  5.00551652511184406e-05
1  0  4.21175524839329080e-05
1  1  2.21152229049952033e-05
1  2  2.31136931446218933e-05
1  3  2.71676243154450573e-05
1  4  2.68308784438069487e-05
2  0  4.09547367572398396e-05
2  1  2.31136931446218967e-05
2  2  2.49320111306986148e-05
2  3  2.92487957169535452e-05
2  4  2.89209522637007418e-05
3  0  5.75199628036508954e-05
3  1  2.71676243154450675e-05
3  2  2.92487957169535485e-05
3  3  3.90984110371021454e-05
3  4  3.53069366098201752e-05
4  0  5.00551652511184271e-05
4  1  2.68308784438069555e-05
4  2  2.89209522637007384e-05
4  3  3.53069366098201888e-05
4  4  3.40192885342919662e-05
