numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.25546720571914684e-06
0  1  9.87767350635420221e-07
0  2  1.23636586627705451e-06
0  3  1.87107224016041370e-06
0  4  6.01661306959567443e-07
1  0  9.87767350635420221e-07
1  1  4.39159657364020717e-07
1  2  5.56781093638198596e-07
1  3  8.56203223214057186e-07
1  4  2.93585804789180752e-07
2  0  1.23636586627705451e-06
2  1  5.56781093638198596e-07
2  2  7.13448833791809709e-07
2  3  1.11138805678197144e-06
2  4  3.99954904305549804e-07
3  0  1.87107224016041413e-06
3  1  8.56203223214057186e-07
3  2  1.11138805678197144e-06
3  3  1.75797713790202435e-06
3  4  6.67493760776150144e-07
4  0  6.01661306959567549e-07
4  1  2.93585804789180752e-07
4  2  3.99954904305549751e-07
4  3  6.67493760776150250e-07
4  4  2.98256789916727689e-07
