numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.59701695230832917e-06
0  1  5.58369778790370657e-07
0  2  4.58427016691743788e-07
0  3  8.48679017599951353e-07
0  4  8.87365675869281186e-07
1  0  5.58369778790370869e-07
1  1  2.79277045198313360e-07
1  2  3.33498056805511926e-07
1  3  4.49134461683264667e-07
1  4  5.33742526075244416e-08
2  0  4.58427016691744052e-07
2  1  3.33498056805511979e-07
2  2  4.10717580020734596e-07
2  3  5.39283583282147439e-07
2  4  1.70074437050310867e-08
3  0  8.48679017599950824e-07
3  1  4.49134461683264561e-07
3  2  5.39283583282147227e-07
3  3  7.22997941404208091e-07
3  4  7.47809555472854394e-08
4  0  8.87365675869281292e-07
4  1  5.33742526075245475e-08
4  2  1.70074437050310867e-08
4  3  7.47809555472856776e-08
4  4  1.85288327338200674e-07
