numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.75879265567553678e-06
0  1  1.53288695575849702e-06
0  2  1.78223906008590130e-06
0  3  2.46117690462061502e-06
0  4  1.48734580432198736e-06
1  0  1.53288695575849702e-06
1  1  6.25132225792394198e-07
1  2  7.26821417809216153e-07
1  3  1.00370153889985677e-06
1  4  6.06559922560440125e-07
2  0  1.78223906008590130e-06
2  1  7.26821417809216365e-07
2  2  8.45052217099485987e-07
2  3  1.16697195483049094e-06
2  4  7.05227989714990285e-07
3  0  2.46117690462061459e-06
3  1  1.00370153889985677e-06
3  2  1.16697195483049052e-06
3  3  1.61152591023919228e-06
3  4  9.73882168587922616e-07
4  0  1.48734580432198778e-06
4  1  6.06559922560440231e-07
4  2  7.05227989714990285e-07
4  3  9.73882168587922616e-07
4  4  5.88539391310649667e-07
