numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.09822783299667724e-06
0  1  1.46198711393803000e-06
0  2  1.94414666039507650e-06
0  3  2.78936840195921904e-06
0  4  1.92667335457130617e-06
1  0  1.46198711393803000e-06
1  1  1.74833935373406414e-06
1  2  2.49240863537622423e-06
1  3  3.64654794726269850e-06
1  4  3.25099068645215230e-06
2  0  1.94414666039507820e-06
2  1  2.49240863537622423e-06
2  2  3.57553937057425890e-06
2  3  5.24003700945263801e-06
2  4  4.76120215381007597e-06
3  0  2.78936840195921989e-06
3  1  3.64654794726269850e-06
3  2  5.24003700945263631e-06
3  3  7.68283499515924171e-06
3  4  7.01570209421822257e-06
4  0  1.92667335457130744e-06
4  1  3.25099068645215272e-06
4  2  4.76120215381007597e-06
4  3  7.01570209421822257e-06
4  4  6.76117110176893211e-06
