numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.50066434663813015e-06
0  1  1.45902770195829129e-06
0  2  2.00127216277514085e-06
0  3  3.06008292569366867e-06
0  4  1.78848014495717844e-06
1  0  1.45902770195829129e-06
1  1  1.01439852696077563e-06
1  2  1.46875831766610090e-06
1  3  2.31320048373899929e-06
1  4  1.55643121429579849e-06
2  0  2.00127216277514085e-06
2  1  1.46875831766610132e-06
2  2  2.15741979282049931e-06
2  3  3.42319811163375866e-06
2  4  2.37813687287090876e-06
3  0  3.06008292569366994e-06
3  1  2.31320048373899971e-06
3  2  3.42319811163375908e-06
3  3  5.45227517452219690e-06
3  4  3.84817368252463600e-06
4  0  1.78848014495717950e-06
4  1  1.55643121429579849e-06
4  2  2.37813687287090792e-06
4  3  3.84817368252463600e-06
4  4  2.89204079688798040e-06
