numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.38780380931449330e-06
0  1  8.38230264707256463e-06
0  2  6.29621685077747279e-06
0  3  -4.58757963340909091e-07
0  4  5.74876486821897999e-06
1  0  8.38230264707256124e-06
1  1  9.12092286962010355e-06
1  2  6.63880025369700630e-06
1  3  -1.34748321626450394e-06
1  4  6.40441791354236632e-06
2  0  6.29621685077746347e-06
2  1  6.63880025369700630e-06
2  2  4.88773574929806390e-06
2  3  -7.58592957473427465e-07
2  4  4.62250043476584895e-06
3  0  -4.58757963340908562e-07
3  1  -1.34748321626450056e-06
3  2  -7.58592957473424606e-07
3  3  1.08724477214536773e-06
3  4  -1.10225829338505464e-06
4  0  5.74876486821897999e-06
4  1  6.40441791354236717e-06
4  2  4.62250043476584895e-06
4  3  -1.10225829338505633e-06
4  4  4.52441057536040253e-06
