numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.76710704731014221e-05
0  1  5.77555509164341709e-07
0  2  -1.77361254863993216e-06
0  3  6.82515306885332122e-06
0  4  1.47483548688978069e-05
1  0  5.77555509164341709e-07
1  1  3.57089809608485434e-06
1  2  6.00064534507276801e-06
1  3  -1.67635665768367794e-06
1  4  1.77092619080524965e-06
2  0  -1.77361254863993238e-06
2  1  6.00064534507276801e-06
2  2  1.55976275376335483e-05
2  3  1.37518227717197780e-05
2  4  -1.41188638011679708e-06
3  0  6.82515306885332122e-06
3  1  -1.67635665768367857e-06
3  2  1.37518227717197763e-05
3  3  6.56048802208172589e-05
3  4  -1.47719252606843498e-06
4  0  1.47483548688978069e-05
4  1  1.77092619080524965e-06
4  2  -1.41188638011679750e-06
4  3  -1.47719252606843456e-06
4  4  1.73904525848382294e-05
