numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.57365267269092032e-05
0  1  2.19228117701128499e-06
0  2  5.53362023533042636e-06
0  3  2.34375038116582547e-05
0  4  1.79401599911169778e-05
1  0  2.19228117701128584e-06
1  1  3.05410262536499741e-07
1  2  7.70897650616855290e-07
1  3  3.26511684147982540e-06
1  4  2.49927291731048020e-06
2  0  5.53362023533042721e-06
2  1  7.70897650616854973e-07
2  2  1.94585205746176670e-06
2  3  8.24160550854281098e-06
2  4  6.30850975407128656e-06
3  0  2.34375038116582513e-05
3  1  3.26511684147982583e-06
3  2  8.24160550854281436e-06
3  3  3.49071046269805173e-05
3  4  2.67195281061965089e-05
4  0  1.79401599911169812e-05
4  1  2.49927291731047977e-06
4  2  6.30850975407128825e-06
4  3  2.67195281061965089e-05
4  4  2.04523746626069184e-05
