numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.67427162074838937e-05
0  1  9.29881890534708709e-06
0  2  2.96229902111688070e-05
0  3  6.65732577200183959e-05
0  4  1.51395274519480529e-05
1  0  9.29881890534709217e-06
1  1  5.16451643585702949e-06
1  2  1.64524571757000691e-05
1  3  3.69744466671864349e-05
1  4  8.40841607440423071e-06
2  0  2.96229902111688104e-05
2  1  1.64524571757000691e-05
2  2  5.24121378022734431e-05
2  3  1.17788472152696895e-04
2  4  2.67864585383291335e-05
3  0  6.65732577200184094e-05
3  1  3.69744466671864349e-05
3  2  1.17788472152696909e-04
3  3  2.64712044839828041e-04
3  4  6.01985753283754306e-05
4  0  1.51395274519480512e-05
4  1  8.40841607440422901e-06
4  2  2.67864585383291471e-05
4  3  6.01985753283754510e-05
4  4  1.36898510748115848e-05
