numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.20754908903684632e-05
0  1  2.56006995836679145e-05
0  2  6.01589206534132830e-05
0  3  5.26512990185467003e-05
0  4  2.50994835710224563e-05
1  0  2.56006995836679145e-05
1  1  5.42748800130324384e-05
1  2  1.27540194341428951e-04
1  3  1.11623626824048245e-04
1  4  5.32122747174999333e-05
2  0  6.01589206534132830e-05
2  1  1.27540194341428951e-04
2  2  2.99705889146941720e-04
2  3  2.62303648664277103e-04
2  4  1.25043184935458713e-04
3  0  5.26512990185467138e-05
3  1  1.11623626824048299e-04
3  2  2.62303648664277212e-04
3  3  2.29569076198096522e-04
3  4  1.09438235406484621e-04
4  0  2.50994835710224597e-05
4  1  5.32122747174999130e-05
4  2  1.25043184935458713e-04
4  3  1.09438235406484594e-04
4  4  5.21704733374034763e-05
