numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.66038136210190814e-06
0  1  2.32449421456711176e-06
0  2  5.45026898549796197e-06
0  3  6.75927174274638850e-06
0  4  4.18962951347078631e-06
1  0  2.32449421456711176e-06
1  1  2.03101458705415271e-06
1  2  4.76214384339806865e-06
1  3  5.90587811376310403e-06
1  4  3.66066673897763166e-06
2  0  5.45026898549796281e-06
2  1  4.76214384339806865e-06
2  2  1.11658548046703275e-05
2  3  1.38475820304713955e-05
2  4  8.58320845397729762e-06
3  0  6.75927174274638935e-06
3  1  5.90587811376310403e-06
3  2  1.38475820304713955e-05
3  3  1.71733854187705408e-05
3  4  1.06446559829321959e-05
4  0  4.18962951347078631e-06
4  1  3.66066673897763208e-06
4  2  8.58320845397729762e-06
4  3  1.06446559829321942e-05
4  4  6.59792453450253472e-06
