numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.10535865762148623e-03
0  1  1.51811551154735829e-03
0  2  3.30001542222650018e-03
0  3  3.83750982461729135e-03
0  4  2.87807718762243857e-03
1  0  1.51811551154735829e-03
1  1  1.09467082867694657e-03
1  2  2.37954924339938562e-03
1  3  2.76712149228223493e-03
1  4  2.07530132984389080e-03
2  0  3.30001542222650018e-03
2  1  2.37954924339938562e-03
2  2  5.17256370904317208e-03
2  3  6.01505190497549427e-03
2  4  4.51120243628336162e-03
3  0  3.83750982461729135e-03
3  1  2.76712149228223493e-03
3  2  6.01505190497549427e-03
3  3  6.99476148670619656e-03
3  4  5.24597053500880546e-03
4  0  2.87807718762243857e-03
4  1  2.07530132984389080e-03
4  2  4.51120243628336162e-03
4  3  5.24597053500880546e-03
4  4  3.93440246768724661e-03
