numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.30960588893092332e-07
0  1  -2.52157285138596768e-09
0  2  -2.16966990980403337e-08
0  3  3.13331602717228644e-07
0  4  6.51647120333575627e-07
1  0  -2.52157285138596602e-09
1  1  1.92117426008711038e-11
1  2  1.65306109689035936e-10
1  3  -2.38725845133250836e-09
1  4  -4.96486815186255211e-09
2  0  -2.16966990980402808e-08
2  1  1.65306109689036712e-10
2  2  1.42236498105509544e-09
2  3  -2.05410001378092282e-08
2  4  -4.27198644263628329e-08
3  0  3.13331602717228856e-07
3  1  -2.38725845133249719e-09
3  2  -2.05410001378092149e-08
3  3  2.96641644220244259e-07
3  4  6.16936407150705274e-07
4  0  6.51647120333575521e-07
4  1  -4.96486815186255625e-09
4  2  -4.27198644263627403e-08
4  3  6.16936407150705379e-07
4  4  1.28306506481414049e-06
