numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.28042079504698593e-07
0  1  -4.79968456167943803e-08
0  2  -3.58543129722860248e-07
0  3  -7.18578744745186516e-07
0  4  3.37972735831063223e-07
1  0  -4.79968456167943869e-08
1  1  3.49232392768022024e-08
1  2  2.59824024109666354e-07
1  3  6.52647703392535651e-07
1  4  -1.15583354818914392e-08
2  0  -3.58543129722860354e-07
2  1  2.59824024109666407e-07
2  2  1.93306749310033221e-06
2  3  4.85400822492341986e-06
2  4  -8.88804634441415384e-08
3  0  -7.18578744745186622e-07
3  1  6.52647703392535863e-07
3  2  4.85400822492341817e-06
3  3  1.23930643947621291e-05
3  4  1.38500231435011657e-07
4  0  3.37972735831063223e-07
4  1  -1.15583354818914342e-08
4  2  -8.88804634441415384e-08
4  3  1.38500231435011869e-07
4  4  6.43891839597301937e-07
