numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.72447111547169918e+00
0  1  -4.01688536520726336e-01
0  2  -4.32108808954613899e-01
0  3  1.28369974056617764e-01
0  4  7.97796706608578265e-01
1  0  5.70054499399801129e-01
1  1  1.45947726990064197e+00
1  2  8.60453351378974940e-01
1  3  -3.97316422060520757e-02
1  4  -6.12265546378876202e-02
2  0  4.48012948701723146e-01
2  1  1.81524198076620413e+00
2  2  2.23188443224348676e+00
2  3  1.12326232739774934e+00
2  4  -9.52883138870226354e-01
3  0  2.27927800560873717e+00
3  1  -3.01843201162900510e+00
3  2  1.52062394789031252e+00
3  3  4.52667626549407043e+00
3  4  -2.08188790901318743e+00
4  0  3.76064780297705470e+00
4  1  1.03798855478128638e+00
4  2  -4.73464279945013999e-01
4  3  2.05047142551234796e-01
4  4  2.13801048055444465e+00
