numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.68497783869384903e-03
0  1  8.60220164263729870e-04
0  2  1.49927024899926872e-03
0  3  2.57811306495361187e-03
0  4  4.50299217253687361e-03
1  0  8.60220164263729653e-04
1  1  1.41706760622838600e-03
1  2  3.14965211346414874e-04
1  3  3.53206256937145394e-04
1  4  2.52047400037588116e-03
2  0  1.49927024899926872e-03
2  1  3.14965211346414928e-04
2  2  1.05238691121382444e-03
2  3  1.39059866814867945e-03
2  4  2.74568953097297950e-03
3  0  2.57811306495361187e-03
3  1  3.53206256937145773e-04
3  2  1.39059866814867945e-03
3  3  3.46718029465463429e-03
3  4  3.90280183577023602e-03
4  0  4.50299217253687448e-03
4  1  2.52047400037588116e-03
4  2  2.74568953097298037e-03
4  3  3.90280183577023428e-03
4  4  9.45034080002969679e-03
