numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.65250723116144855e-06
0  1  -5.68507821013743824e-06
0  2  4.29593233965673548e-06
0  3  -9.05177006843349594e-06
0  4  -2.98872168204518196e-06
1  0  -5.68507821013743654e-06
1  1  8.84874750681934242e-06
1  2  -6.68656070768165013e-06
1  3  1.40889579465286771e-05
1  4  4.65190496155634223e-06
2  0  4.29593233965673463e-06
2  1  -6.68656070768165013e-06
2  2  5.05270311567326699e-06
2  3  -1.06463284826283991e-05
2  4  -3.51521443095087905e-06
3  0  -9.05177006843349764e-06
3  1  1.40889579465286737e-05
3  2  -1.06463284826283958e-05
3  3  2.24324104474762333e-05
3  4  7.40675370430743966e-06
4  0  -2.98872168204518154e-06
4  1  4.65190496155634393e-06
4  2  -3.51521443095087989e-06
4  3  7.40675370430744220e-06
4  4  2.44556868129363343e-06
