numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.44660063462333213e-04
0  1  2.72237177273432901e-04
0  2  2.19239741864082487e-04
0  3  9.21405772428866913e-05
0  4  8.26650784911477890e-04
1  0  2.72237177273432793e-04
1  1  3.02922674183057265e-04
1  2  2.43951577656738181e-04
1  3  1.02526298350323153e-04
1  4  9.19827588902000096e-04
2  0  2.19239741864082541e-04
2  1  2.43951577656738262e-04
2  2  1.96460606330340319e-04
2  3  8.25671181641300758e-05
2  4  7.40761291936947752e-04
3  0  9.21405772428866507e-05
3  1  1.02526298350323234e-04
3  2  8.25671181641300623e-05
3  3  3.47007429594631671e-05
3  4  3.11322082656761317e-04
4  0  8.26650784911477890e-04
4  1  9.19827588902000313e-04
4  2  7.40761291936947426e-04
4  3  3.11322082656761100e-04
4  4  2.79306524540311012e-03
