numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.91270288779295429e-05
0  1  6.88832981128275528e-05
0  2  -1.84511423407131502e-05
0  3  5.31084307329569928e-05
0  4  6.73775501888635461e-05
1  0  6.88832981128275528e-05
1  1  2.48073487481151225e-04
1  2  -6.64491880306681708e-05
1  3  1.91262526439952326e-04
1  4  2.42650748602512840e-04
2  0  -1.84511423407131536e-05
2  1  -6.64491880306681166e-05
2  2  1.77991394194052607e-05
2  3  -5.12317527829115181e-05
2  4  -6.49966483052561442e-05
3  0  5.31084307329570131e-05
3  1  1.91262526439952326e-04
3  2  -5.12317527829114707e-05
3  3  1.47461763816953334e-04
3  4  1.87081641377692947e-04
4  0  6.73775501888635055e-05
4  1  2.42650748602512840e-04
4  2  -6.49966483052561713e-05
4  3  1.87081641377692947e-04
4  4  2.37346547570237973e-04
